,cities,lat,lng,temp,humidity,cloudiness,windspeed
69,skibbereen,51.55,-9.27,51.8,93.0,75.0,11.41
70,kapaa,22.08,-159.32,78.53,60.0,40.0,13.02
71,bull savanna,17.89,-77.59,82.11,59.0,12.0,7.54
72,awjilah,29.14,21.3,49.8,94.0,0.0,5.41
73,samarai,-10.62,150.67,82.56,100.0,8.0,6.08
74,narsaq,60.91,-46.05,22.8,83.0,88.0,4.63
75,lavrentiya,65.58,-170.99,23.92,100.0,88.0,41.32
76,kaitangata,-46.28,169.85,58.39,74.0,0.0,11.23
77,chokurdakh,70.62,147.9,-29.5,49.0,20.0,2.95
78,nome,30.04,-94.42,57.94,77.0,90.0,8.05
79,vanimo,-2.67,141.3,82.83,100.0,20.0,5.75
80,constitucion,23.99,-104.67,69.8,37.0,75.0,6.93
81,cap malheureux,-19.98,57.61,75.2,88.0,20.0,4.7
82,rikitea,-23.12,-134.97,78.51,100.0,32.0,10.0
83,pryozerne,49.42,24.47,26.6,86.0,24.0,4.47
84,meulaboh,4.14,96.13,76.26,100.0,68.0,5.19
85,fairbanks,64.84,-147.72,6.96,91.0,20.0,1.5
86,sharjah,25.36,55.39,69.67,73.0,0.0,4.7
87,san jeronimo,-13.65,-73.37,57.2,54.0,75.0,13.87
88,busselton,-33.64,115.35,54.66,100.0,0.0,4.74
89,kununurra,-15.77,128.74,78.8,83.0,0.0,1.12
90,dikson,73.51,80.55,4.84,100.0,76.0,18.16
92,iqaluit,63.75,-68.52,-5.81,70.0,40.0,4.7
95,mar del plata,-46.43,-67.52,83.5,25.0,12.0,2.95
96,ancud,-41.87,-73.83,75.2,25.0,0.0,11.41
97,peniche,39.36,-9.38,56.3,100.0,90.0,5.82
98,birsk,55.42,55.54,2.23,58.0,0.0,2.73
99,ilulissat,69.22,-51.1,26.6,42.0,75.0,13.87
100,lardos,36.09,28.02,53.6,62.0,20.0,19.46
101,soc trang,9.6,105.98,78.8,88.0,20.0,2.24
104,port alfred,-33.59,26.89,71.62,90.0,92.0,12.68
105,pevek,69.7,170.27,-3.8,100.0,44.0,5.75
106,barrow,-38.31,-60.23,60.78,48.0,8.0,8.21
107,ariquemes,-9.91,-63.03,83.14,77.0,8.0,2.51
108,aguas vermelhas,-15.75,-41.46,69.6,96.0,92.0,9.22
109,huautla,21.03,-98.29,66.58,100.0,100.0,3.18
110,port macquarie,-31.43,152.91,59.0,93.0,40.0,3.36
111,ambon,47.55,-2.56,54.19,93.0,90.0,11.41
112,khatanga,71.98,102.47,-3.35,77.0,92.0,12.46
113,codrington,-28.95,153.24,63.27,87.0,75.0,6.93
114,punta arenas,-53.16,-70.91,63.55,59.0,40.0,29.97
116,fortuna,38.18,-1.13,53.6,87.0,20.0,3.36
117,kodiak,39.95,-94.76,28.11,36.0,40.0,9.17
118,mandera,3.94,41.86,71.4,90.0,24.0,3.18
119,cherskiy,68.75,161.3,-31.34,54.0,24.0,2.73
120,manakara,-22.14,48.01,75.36,97.0,64.0,7.99
121,sur,22.57,59.53,72.7,100.0,0.0,5.64
122,la romana,18.43,-68.97,84.96,66.0,40.0,5.82
123,ribeira grande,38.52,-28.7,64.4,88.0,40.0,8.05
125,whitehorse,60.72,-135.06,23.0,85.0,90.0,24.16
126,cayenne,4.94,-52.33,77.0,94.0,100.0,2.24
127,rio gallegos,-51.62,-69.22,77.0,38.0,40.0,25.28
128,lasa,34.92,32.53,54.63,93.0,40.0,11.41
129,georgetown,6.8,-58.16,87.8,58.0,40.0,11.41
130,san cristobal,-0.39,-78.55,73.4,38.0,40.0,16.11
131,bonavista,48.65,-53.11,30.49,100.0,92.0,18.28
132,wildberg,48.62,8.75,51.87,87.0,40.0,4.7
133,strezhevoy,60.73,77.6,6.8,84.0,90.0,8.95
135,winslow,51.94,-0.88,54.37,93.0,90.0,16.11
136,andapa,-14.66,49.65,70.23,98.0,88.0,1.61
137,bethel,60.79,-161.76,33.98,100.0,90.0,11.41
138,mahon,51.89,-8.4,51.8,93.0,75.0,11.41
139,sorland,67.67,12.69,31.14,92.0,40.0,4.7
140,lagoa,37.14,-8.45,64.4,59.0,0.0,6.93
141,powell river,49.84,-124.52,33.73,100.0,75.0,2.95
142,vladesti,45.12,24.3,22.98,90.0,48.0,2.62
144,eureka,40.8,-124.16,54.93,66.0,1.0,2.95
145,igarka,67.47,86.57,-9.16,68.0,68.0,17.49
146,wagar,31.44,-87.99,52.54,31.0,12.0,2.95
148,oktyabrskoye,56.73,85.44,-13.01,69.0,0.0,2.24
149,lebu,8.96,38.73,44.62,78.0,8.0,4.18
150,moctezuma,29.81,-109.68,64.06,57.0,76.0,5.19
151,namibe,-15.19,12.15,72.88,100.0,0.0,1.72
152,pacific grove,36.62,-121.92,58.37,72.0,20.0,6.93
153,karatsu,33.45,129.97,52.59,62.0,90.0,9.17
154,yellowknife,62.45,-114.38,12.2,85.0,75.0,3.36
155,port hardy,50.7,-127.42,30.2,100.0,75.0,2.24
156,lesnoy,59.78,52.13,22.84,77.0,76.0,6.42
157,gigmoto,13.78,124.39,78.91,100.0,80.0,12.01
158,kavieng,-2.57,150.8,85.12,100.0,0.0,5.41
159,waipawa,-39.94,176.59,54.34,69.0,80.0,13.58
161,honiara,-9.43,159.96,79.0,95.0,0.0,2.17
162,broome,52.47,1.45,54.45,87.0,90.0,13.87
163,clyde river,70.47,-68.59,-5.81,83.0,90.0,8.05
164,anju,39.62,125.66,8.4,100.0,0.0,13.24
165,plymouth,50.37,-4.14,54.52,100.0,75.0,16.11
166,dudinka,69.41,86.18,-8.57,66.0,68.0,15.7
167,tokoroa,-38.22,175.87,56.14,65.0,0.0,9.78
168,kangaba,11.94,-8.41,76.66,33.0,0.0,8.66
169,talakan,50.29,130.28,-17.84,76.0,56.0,5.08
170,loreto,-23.27,-57.32,87.51,60.0,68.0,6.42
171,ukiah,39.15,-123.21,46.94,79.0,1.0,1.39
172,naze,5.43,7.07,77.11,60.0,24.0,4.52
173,voh,-20.95,164.69,77.56,100.0,92.0,16.26
174,kysyl-syr,63.9,122.77,-29.81,49.0,36.0,2.95
175,sao desiderio,-12.36,-44.97,70.45,99.0,88.0,6.53
176,pecos,31.42,-103.49,55.44,62.0,1.0,6.93
177,dunedin,-45.87,170.5,56.91,71.0,0.0,3.62
179,margate,-43.03,147.26,69.8,43.0,0.0,14.99
180,iracoubo,5.48,-53.21,72.25,99.0,92.0,4.52
181,komsomolskiy,67.55,63.78,21.67,93.0,92.0,14.03
182,nanortalik,60.14,-45.24,31.93,84.0,68.0,11.23
183,genhe,50.78,121.52,-23.6,63.0,20.0,8.77
184,lompoc,34.64,-120.46,58.84,90.0,90.0,3.36
185,marquette,46.54,-87.4,20.52,78.0,90.0,11.41
186,saint george,39.45,22.34,39.2,69.0,20.0,6.93
187,la ronge,55.1,-105.3,14.0,85.0,90.0,6.93
188,ketchikan,55.34,-131.65,30.67,95.0,20.0,4.7
189,ossora,59.24,163.07,28.24,93.0,92.0,20.62
190,zanjan,36.67,48.48,38.28,100.0,92.0,4.18
191,touros,-5.2,-35.46,86.0,70.0,75.0,17.22
192,bredasdorp,-34.53,20.04,62.6,88.0,92.0,1.12
193,jumla,29.28,82.18,15.78,100.0,0.0,1.72
194,vao,59.1,26.19,33.15,99.0,56.0,7.43
195,saint-philippe,45.36,-73.48,31.32,80.0,75.0,4.7
196,sao filipe,14.9,-24.5,74.28,99.0,0.0,12.68
197,lanzhou,36.06,103.82,5.0,84.0,0.0,2.24
198,san carlos de bariloche,-41.13,-71.31,73.4,30.0,0.0,6.93
199,les cayes,18.19,-73.75,83.14,93.0,0.0,11.12
200,mnogovershinnyy,53.94,139.92,-1.51,67.0,64.0,10.11
201,praia,-20.25,-43.81,82.4,51.0,20.0,3.36
202,olavarria,-36.89,-60.32,69.01,43.0,8.0,6.64
203,fuente palmera,37.7,-5.1,53.6,93.0,0.0,2.73
204,vostok,46.45,135.83,-7.76,59.0,32.0,4.74
205,vila franca do campo,37.72,-25.43,62.6,88.0,20.0,2.06
206,tarko-sale,64.92,77.78,9.93,83.0,88.0,9.78
207,hambantota,6.12,81.12,77.0,100.0,75.0,6.93
208,northam,51.04,-4.21,54.36,93.0,75.0,10.29
209,karachi,24.87,67.03,68.0,72.0,0.0,8.05
210,marienburg,52.12,9.98,51.8,87.0,75.0,9.17
211,sao pedro do sul,-29.62,-54.18,73.51,48.0,36.0,9.1
212,canora,51.64,-102.43,12.2,72.0,90.0,12.75
213,fallon,46.84,-105.12,23.0,64.0,1.0,12.75
214,quang ngai,15.12,108.8,71.44,98.0,92.0,2.06
215,bielsko-biala,49.82,19.05,34.84,80.0,75.0,2.24
216,owando,-0.49,15.91,74.1,95.0,12.0,1.95
217,goya,-29.14,-59.27,74.68,49.0,92.0,12.8
218,dongsheng,29.72,112.52,37.38,99.0,92.0,18.72
219,severo-kurilsk,50.68,156.12,29.1,100.0,68.0,13.13
220,pisco,-13.71,-76.2,71.6,30.0,0.0,11.41
221,upernavik,72.79,-56.15,23.7,100.0,68.0,8.77
222,olinda,-2.03,-79.75,86.0,51.0,40.0,8.05
223,longyearbyen,78.22,15.63,30.2,74.0,75.0,11.41
224,itoman,26.12,127.67,69.8,78.0,75.0,6.93
225,ponta do sol,-20.63,-46.0,73.2,87.0,24.0,2.51
226,petropavlovsk-kamchatskiy,53.05,158.65,6.8,77.0,40.0,13.42
227,half moon bay,37.46,-122.43,57.78,51.0,1.0,8.05
229,gimli,50.63,-96.99,-6.32,87.0,0.0,7.09
230,amapa,15.09,-87.97,73.4,94.0,90.0,11.41
231,vila,45.18,8.4,40.12,93.0,0.0,3.36
232,lorengau,-2.02,147.27,83.68,100.0,0.0,5.75
233,oriximina,-1.77,-55.87,78.37,93.0,44.0,3.06
234,harper,30.3,-99.24,57.63,92.0,90.0,9.17
235,college,64.86,-147.8,9.72,91.0,20.0,1.5
236,sivaki,52.63,126.75,-16.4,47.0,12.0,7.65
237,kahului,20.89,-156.47,75.85,66.0,20.0,14.99
239,rabak,13.18,32.74,66.81,26.0,0.0,11.12
240,belyy yar,53.6,91.39,-22.01,67.0,20.0,2.39
241,aksu,52.04,76.93,-5.81,76.0,0.0,6.71
242,mount gambier,-37.83,140.78,68.0,45.0,68.0,8.05
243,lakes entrance,-37.88,147.99,71.76,76.0,8.0,8.43
244,gewane,10.16,40.66,63.25,72.0,0.0,3.51
245,yuci,37.68,112.73,15.8,28.0,0.0,6.71
246,sakaiminato,35.55,133.23,53.6,54.0,75.0,10.29
247,mount hagen,-5.86,144.23,59.0,100.0,40.0,6.93
248,xuanwu,32.07,118.81,39.2,80.0,90.0,8.95
249,kulhudhuffushi,6.62,73.07,80.8,100.0,48.0,6.42
250,mocoa,1.15,-76.65,65.1,82.0,88.0,2.51
251,bilma,18.69,12.92,56.14,49.0,64.0,5.97
252,sinnamary,5.38,-52.96,74.55,100.0,92.0,7.2
253,charters towers,-20.07,146.27,69.1,98.0,92.0,10.11
254,arraial do cabo,-22.97,-42.02,82.29,70.0,75.0,9.17
255,kargil,34.56,76.13,-5.83,78.0,56.0,1.39
256,marawi,8.0,124.29,63.34,93.0,20.0,2.06
257,san andres,13.32,122.68,81.25,100.0,0.0,15.59
258,yerbogachen,61.28,108.01,-20.0,57.0,68.0,7.09
259,neklyudovo,54.88,41.31,23.92,93.0,92.0,3.62
260,marao,10.3,15.3,70.09,47.0,0.0,5.53
261,santa rosa,-36.62,-64.29,73.69,37.0,36.0,5.08
262,isangel,-19.55,169.27,78.33,100.0,92.0,23.87
263,yinchuan,38.48,106.21,-8.8,58.0,0.0,4.07
264,adrar,27.87,-0.29,66.2,32.0,0.0,13.87
265,tiksi,71.64,128.87,-31.43,53.0,24.0,2.73
267,koppies,-27.24,27.57,67.12,56.0,8.0,11.68
268,alice springs,-23.7,133.88,68.0,32.0,0.0,4.7
269,aykhal,65.95,111.51,-11.54,72.0,64.0,3.96
271,ola,59.58,151.3,26.4,100.0,36.0,38.86
272,salalah,17.01,54.1,77.0,69.0,20.0,5.82
274,nsanje,-16.92,35.26,82.51,60.0,8.0,8.66
275,evensk,61.92,159.24,12.94,100.0,64.0,25.77
277,kailua,21.39,-157.74,76.69,60.0,1.0,6.93
279,sitka,37.17,-99.65,35.89,54.0,56.0,15.14
280,new iberia,30.0,-91.82,61.12,51.0,1.0,8.43
281,the valley,18.22,-63.06,83.34,58.0,20.0,11.41
282,kieta,-6.22,155.63,81.03,100.0,8.0,4.07
283,nantucket,41.28,-70.1,40.23,41.0,40.0,14.99
284,japura,-0.42,102.29,73.2,97.0,12.0,1.95
286,songea,-10.68,35.65,80.6,54.0,20.0,12.75
287,tignere,7.37,12.65,63.21,62.0,0.0,4.97
288,poddorye,57.47,31.12,23.02,89.0,80.0,7.76
289,griffith,-34.29,146.06,71.04,38.0,12.0,10.29
290,srednekolymsk,67.46,153.71,-34.9,66.0,20.0,1.95
291,saint-joseph,43.56,6.97,48.2,93.0,0.0,3.18
292,alpoyeca,17.67,-98.51,74.46,46.0,100.0,2.17
293,hoquiam,46.98,-123.89,39.54,69.0,1.0,14.99
294,ilinskiy,55.62,38.12,30.22,100.0,75.0,4.47
295,souillac,45.6,-0.6,54.39,93.0,90.0,6.93
296,mandalgovi,45.76,106.27,-22.34,57.0,0.0,9.1
297,bezenchuk,52.99,49.43,14.02,86.0,80.0,7.2
300,saskylakh,71.97,114.09,-0.29,77.0,76.0,8.77
301,tartagal,-22.52,-63.8,66.2,100.0,90.0,6.93
302,klaksvik,62.23,-6.59,44.6,87.0,12.0,13.87
303,kandalaksha,67.15,32.41,21.94,83.0,8.0,5.53
304,hami,42.84,93.51,-10.19,33.0,0.0,2.39
305,koumac,-20.56,164.28,75.45,100.0,92.0,12.46
306,luderitz,-26.65,15.16,58.53,93.0,88.0,7.43
307,bathsheba,13.22,-59.52,84.2,58.0,20.0,18.34
308,yar-sale,66.83,70.83,16.09,95.0,76.0,3.62
310,chifeng,42.27,118.96,-4.07,36.0,0.0,8.99
311,chazuta,-6.57,-76.13,62.6,290.0,40.0,9.17
312,mayor pablo lagerenza,-19.93,-60.77,81.93,83.0,36.0,8.1
313,novopskov,49.54,39.1,29.32,100.0,92.0,3.4
314,yaan,7.38,8.57,78.33,34.0,0.0,7.99
315,rovaniemi,66.5,25.72,14.0,92.0,0.0,14.99
316,bay roberts,47.58,-53.28,26.6,86.0,90.0,23.04
317,ngunguru,-35.62,174.5,63.48,93.0,36.0,15.14
318,houma,35.63,111.36,13.66,54.0,36.0,2.51
319,cocobeach,1.01,9.58,80.6,88.0,40.0,8.05
320,mount isa,-20.73,139.49,78.8,54.0,0.0,10.29
321,palmas,-10.18,-48.33,72.79,100.0,92.0,3.96
322,lazaro cardenas,28.39,-105.62,69.8,32.0,90.0,11.41
323,tura,25.52,90.21,55.42,84.0,48.0,2.39
324,nikolayevka,47.31,38.84,32.2,98.0,92.0,3.51
325,anchorage,61.22,-149.89,27.41,100.0,75.0,5.82
326,tawau,4.26,117.89,75.2,100.0,75.0,2.24
328,okhotsk,59.36,143.24,26.31,77.0,80.0,22.75
329,trairi,-3.28,-39.27,81.25,100.0,80.0,6.08
330,prestea,5.43,-2.14,73.56,93.0,24.0,2.17
332,puerto colombia,10.99,-74.96,86.0,66.0,40.0,13.87
333,labuhan,-2.54,115.51,71.8,98.0,20.0,1.95
334,bandarbeyla,9.49,50.81,80.08,100.0,92.0,9.44
335,ust-kan,50.93,84.77,-11.36,48.0,44.0,3.4
336,victoria,5.28,115.24,78.28,83.0,75.0,4.7
337,muros,42.77,-9.06,51.8,93.0,90.0,3.36
338,homer,59.64,-151.54,36.0,78.0,40.0,4.7
339,bubaque,11.28,-15.83,82.78,96.0,56.0,7.99
340,yulara,-25.24,130.99,68.0,77.0,0.0,3.36
341,khovu-aksy,51.13,93.72,-35.48,57.0,0.0,2.51
342,kavaratti,10.57,72.64,83.32,100.0,20.0,7.09
343,hirara,24.8,125.28,75.31,100.0,92.0,11.68
344,boddam,57.47,-1.78,41.0,80.0,76.0,5.82
346,erzin,36.95,36.2,56.43,93.0,75.0,3.36
347,lillooet,50.69,-121.94,14.0,85.0,90.0,9.17
348,paamiut,61.99,-49.67,32.11,92.0,88.0,2.17
349,ahipara,-35.17,173.16,64.06,80.0,0.0,8.55
351,byron bay,-28.65,153.62,63.45,72.0,90.0,9.17
352,baykit,61.68,96.39,-31.03,50.0,64.0,2.73
353,jacareacanga,-6.22,-57.76,91.4,63.0,40.0,4.7
354,paralimni,40.99,23.67,24.55,93.0,0.0,2.73
355,ust-maya,60.42,134.54,-32.65,56.0,32.0,3.62
357,tiarei,-17.53,-149.33,86.0,66.0,75.0,18.34
358,ixtapa,20.71,-105.21,82.4,65.0,20.0,4.7
360,providencia,1.24,-77.6,65.55,64.0,20.0,8.05
361,cayeli,41.09,40.73,24.78,78.0,12.0,1.16
362,deloraine,49.18,-100.5,7.5,88.0,32.0,6.76
363,baruun-urt,46.68,113.28,-25.45,35.0,0.0,9.55
364,gualaceo,-2.89,-78.78,59.2,100.0,88.0,0.6
365,flinders,-34.58,150.85,51.8,100.0,0.0,4.7
367,esil,51.96,66.41,3.85,63.0,8.0,5.97
368,durres,41.32,19.44,32.0,100.0,0.0,1.12
369,saint anthony,43.97,-111.68,20.61,64.0,90.0,3.36
370,tuatapere,-46.13,167.69,58.39,86.0,24.0,5.75
371,kantunilkin,21.1,-87.49,80.6,65.0,40.0,14.99
372,padang,-0.92,100.36,76.12,100.0,92.0,7.2
373,katsuura,33.93,134.5,52.45,100.0,92.0,12.24
374,abu samrah,35.3,37.18,50.2,76.0,56.0,8.43
375,hearst,49.69,-83.67,-4.03,52.0,0.0,4.97
376,grand-santi,4.27,-54.38,77.47,90.0,92.0,2.39
378,kayerkan,69.35,87.76,-7.76,63.0,48.0,12.68
379,cerinza,5.96,-72.95,61.41,74.0,80.0,2.39
380,rio brilhante,-21.8,-54.54,89.13,45.0,32.0,7.09
383,pangnirtung,66.15,-65.72,-2.86,72.0,48.0,5.97
384,colares,38.8,-9.45,57.81,93.0,20.0,13.87
385,portland,45.52,-122.67,42.15,44.0,20.0,25.28
386,atikokan,48.76,-91.62,6.06,47.0,0.0,5.08
387,cidreira,-30.17,-50.22,69.82,65.0,64.0,13.13
389,xinqing,48.28,129.53,-18.74,52.0,0.0,4.97
390,puerto del rosario,28.5,-13.86,70.83,60.0,0.0,11.41
391,dzaoudzi,-12.79,45.27,82.4,83.0,75.0,3.36
393,rio grande,-32.03,-52.1,73.4,46.0,20.0,17.22
394,sukumo,32.94,132.72,54.43,85.0,68.0,18.05
395,natal,-5.81,-35.21,86.0,62.0,75.0,14.99
396,nhulunbuy,-12.18,136.78,84.2,89.0,75.0,6.93
397,luanda,-8.83,13.24,80.6,78.0,75.0,4.7
398,wasilla,61.58,-149.44,27.46,87.0,90.0,3.36
399,alofi,-19.06,-169.92,82.4,74.0,68.0,10.29
400,junin,-16.45,-71.58,55.11,25.0,12.0,4.41
401,wukari,7.87,9.78,83.14,29.0,0.0,12.24
402,great falls,47.5,-111.29,25.07,52.0,1.0,14.99
403,monze,-16.28,27.48,68.65,80.0,56.0,2.39
404,deoli,25.76,75.37,54.48,74.0,0.0,2.95
405,ouadda,8.07,22.4,67.71,42.0,0.0,10.0
406,sohbatpur,28.52,68.54,56.1,93.0,12.0,2.51
407,trelew,-43.25,-65.31,80.62,27.0,0.0,4.97
409,progreso,-34.68,-56.22,61.74,51.0,20.0,17.22
410,omboue,-1.57,9.26,77.43,100.0,88.0,7.54
411,paita,-5.09,-81.11,62.6,290.0,0.0,14.99
412,pangkalanbuun,-2.68,111.62,73.11,98.0,56.0,2.62
413,seoul,37.57,126.98,21.88,37.0,1.0,3.36
414,lhokseumawe,5.18,97.15,79.63,100.0,76.0,7.2
415,los angeles,34.05,-118.24,53.4,92.0,90.0,2.95
416,havre,48.55,-109.68,14.0,76.0,1.0,5.41
417,norman wells,65.28,-126.83,8.6,84.0,75.0,8.05
418,luebo,-5.35,21.42,74.5,94.0,44.0,2.39
419,chemal,51.41,86.0,-7.45,57.0,44.0,2.17
420,panzhihua,26.59,101.72,49.98,50.0,92.0,3.51
421,port blair,11.67,92.75,84.9,96.0,56.0,9.66
422,matara,-13.74,-72.9,57.2,54.0,75.0,13.87
423,nemuro,43.32,145.57,37.69,100.0,92.0,23.64
424,bela,26.23,66.31,42.37,81.0,0.0,2.95
425,mangrol,25.33,76.51,52.27,64.0,0.0,4.63
426,monrovia,6.33,-10.8,82.4,83.0,75.0,8.1
427,grand gaube,-20.01,57.66,75.2,88.0,20.0,4.7
428,kushiro,43.11,144.15,25.09,90.0,92.0,5.64
429,glendive,47.11,-104.71,21.11,64.0,1.0,12.75
430,teseney,15.11,36.66,68.74,59.0,0.0,6.2
431,thinadhoo,0.53,72.93,83.01,100.0,64.0,7.99
433,dubai,25.27,55.3,70.9,73.0,0.0,4.7
434,pitimbu,-7.47,-34.81,82.4,74.0,75.0,12.75
435,el escorial,40.58,-4.13,48.18,93.0,0.0,1.72
436,rudsar,37.14,50.29,55.29,93.0,90.0,2.24
437,nelson bay,-32.72,152.14,55.4,87.0,44.0,16.71
438,mandali,33.75,45.55,53.8,97.0,80.0,7.54
439,pitsunda,43.16,40.34,50.0,87.0,90.0,6.71
440,kuching,1.56,110.34,77.0,94.0,75.0,1.12
441,maragogi,-9.01,-35.22,80.13,80.0,24.0,9.66
443,poum,41.28,20.71,14.25,76.0,0.0,1.72
444,nabire,-3.36,135.5,67.84,96.0,12.0,1.95
445,surgut,61.25,73.4,8.6,92.0,40.0,6.71
447,piet retief,-27.01,30.81,69.51,62.0,0.0,5.97
448,tevaitoa,-16.78,-151.5,80.58,100.0,88.0,14.7
449,wakefield,53.68,-1.5,53.92,100.0,75.0,8.05
450,great bend,38.36,-98.78,31.82,49.0,1.0,18.34
451,zapolyarnyy,69.43,30.82,30.2,86.0,75.0,38.03
452,luzhou,28.89,105.45,44.98,100.0,92.0,2.17
453,sangar,63.92,127.47,-43.67,0.0,36.0,3.4
454,aklavik,68.22,-135.01,13.57,92.0,90.0,5.82
456,samana,0.12,-76.97,86.0,62.0,40.0,6.93
457,tabou,4.42,-7.36,81.03,100.0,32.0,6.2
458,umkomaas,-30.21,30.8,70.5,83.0,44.0,2.39
460,udachnyy,66.42,112.4,-6.95,73.0,64.0,4.41
462,port lincoln,-34.72,135.86,67.12,85.0,92.0,15.82
463,thaba-tseka,-29.52,28.61,58.71,49.0,20.0,4.41
465,beringovskiy,63.05,179.32,-4.03,100.0,8.0,22.3
466,monroe,41.91,-83.4,32.81,97.0,90.0,9.17
467,morondava,-20.3,44.28,78.33,91.0,0.0,1.39
468,benjamin constant,-4.38,-70.03,85.12,66.0,40.0,5.82
469,taoudenni,22.68,-3.98,61.09,33.0,0.0,9.22
470,kharan,28.58,65.42,41.38,76.0,0.0,2.06
471,clyde,-45.19,169.32,55.69,54.0,0.0,2.73
473,maumere,-8.63,122.22,82.33,100.0,0.0,4.63
474,fort nelson,58.81,-122.69,3.2,84.0,20.0,3.36
475,teguldet,57.31,88.17,-26.48,41.0,20.0,2.51
477,shangrao,28.45,117.97,42.91,100.0,92.0,3.74
478,roald,62.58,6.12,31.24,74.0,75.0,13.87
479,shelui,-4.36,34.2,63.52,95.0,20.0,3.06
480,bend,44.06,-121.32,26.06,58.0,1.0,11.41
482,kalmunai,7.42,81.82,73.83,100.0,88.0,4.52
484,ucluelet,48.94,-125.55,39.2,86.0,20.0,2.24
486,grimshaw,56.19,-117.61,8.6,84.0,20.0,8.05
487,pahrump,36.21,-115.98,47.53,36.0,90.0,11.41
488,ilo,-17.65,-71.34,73.4,69.0,0.0,12.75
489,taltal,-25.41,-70.49,67.66,53.0,20.0,3.62
490,camabatela,-8.19,15.37,64.42,93.0,0.0,2.62
491,zhelyabovka,45.4,34.76,35.44,100.0,92.0,10.56
